epoch,train_acc,train_loss,test_acc,test_loss
4470,65.625,0.552551,53.1915,0.644413
4480,43.75,0.554934,52.8875,0.645745
4490,68.75,0.510421,52.5836,0.650901
4500,68.75,0.456582,51.6717,0.649926
4510,46.875,0.617527,52.8875,0.643359
4520,50,0.605749,55.9271,0.650506
4530,43.75,0.606697,53.7994,0.657246
4540,46.875,0.597189,55.0152,0.654305
4550,68.75,0.525352,54.1033,0.65302
4560,62.5,0.549369,53.7994,0.649024
4570,62.5,0.565187,51.6717,0.651272
4580,43.75,0.629145,51.6717,0.651594
4590,65.625,0.446234,50.4559,0.652523
4600,50,0.581037,51.3678,0.654629
4610,53.125,0.56047,52.8875,0.647965
4620,50,0.573956,53.1915,0.646219
4630,50,0.603547,52.2796,0.650557
4640,50,0.574689,51.0638,0.646629
4650,59.375,0.525234,51.6717,0.647863
4660,46.875,0.621297,52.5836,0.643535
4670,65.625,0.496436,54.7112,0.648375
4680,56.25,0.542734,52.5836,0.644788
4690,65.625,0.516521,51.6717,0.663506
4700,43.75,0.634156,49.2401,0.674885
4710,62.5,0.542303,52.8875,0.643247
4720,53.125,0.574841,52.5836,0.645989
4730,53.125,0.541834,53.7994,0.648373
4740,56.25,0.578055,50.7599,0.649184
4750,59.375,0.539558,52.5836,0.642046
4760,59.375,0.503769,49.848,0.658688
4770,68.75,0.508054,51.0638,0.651392
4780,53.125,0.610221,52.5836,0.642159
4790,59.375,0.48346,51.6717,0.640787
4800,56.25,0.489493,53.1915,0.64071
4810,59.375,0.551209,53.1915,0.641161
4820,56.25,0.546113,54.1033,0.646461
4830,46.875,0.613489,53.4954,0.648045
4840,40.625,0.686857,49.5441,0.675515
4850,53.125,0.552886,53.1915,0.643564
4860,62.5,0.502953,53.7994,0.642901
4870,56.25,0.606829,52.5836,0.655994
4880,59.375,0.495515,53.7994,0.642921
4890,40.625,0.629521,50.4559,0.64927
4900,50,0.582185,52.5836,0.657864
4910,62.5,0.476045,50.7599,0.642284
4920,50,0.608086,52.8875,0.648791
4930,40.625,0.608525,51.9757,0.640077
4940,68.75,0.472479,52.5836,0.649174
4950,50,0.559066,52.2796,0.640613
4960,68.75,0.516531,54.4073,0.651693
4970,53.125,0.538769,50.4559,0.648387
4980,53.125,0.602896,52.8875,0.644243
4990,53.125,0.605239,53.1915,0.643975
5000,40.625,0.629335,51.9757,0.640889
5010,46.875,0.569005,50.4559,0.65384
5020,78.125,0.493135,54.4073,0.653478
5030,59.375,0.54308,53.7994,0.640698
5040,50,0.633552,54.7112,0.648714
5050,46.875,0.571337,54.1033,0.640498
5060,62.5,0.526843,54.4073,0.645755
5070,71.875,0.437954,51.6717,0.65524
5080,59.375,0.538048,51.9757,0.678715
5090,59.375,0.513978,54.4073,0.645776
5100,53.125,0.5487,53.1915,0.640104
5110,71.875,0.487782,53.7994,0.64255
5120,59.375,0.529244,52.5836,0.646493
5130,53.125,0.559262,51.9757,0.657073
5140,53.125,0.549286,50.4559,0.645052
5150,53.125,0.523164,52.2796,0.640971
5160,68.75,0.457286,51.3678,0.651182
5170,65.625,0.488578,54.1033,0.646311
5180,53.125,0.540199,54.1033,0.640968
5190,68.75,0.446393,52.8875,0.641383
5200,46.875,0.602471,54.4073,0.642512
5210,53.125,0.487131,54.1033,0.637556
5220,43.75,0.625517,50.7599,0.652861
5230,37.5,0.63249,54.4073,0.663312
5240,56.25,0.574237,52.2796,0.643826
5250,56.25,0.576824,54.7112,0.641842
5260,62.5,0.521079,52.2796,0.641659
5270,43.75,0.676222,51.9757,0.639444
5280,53.125,0.572592,53.4954,0.646477
5290,62.5,0.540185,52.5836,0.641744
5300,62.5,0.599451,54.7112,0.645529
5310,62.5,0.512115,54.1033,0.639007
5320,71.875,0.413005,52.8875,0.634083
5330,71.875,0.488306,53.4954,0.635433
5340,53.125,0.582535,55.3191,0.640419
5350,46.875,0.523777,53.1915,0.640074
5360,56.25,0.618899,54.1033,0.642819
5370,62.5,0.570787,51.3678,0.640869
5380,65.625,0.51739,54.7112,0.659693
5390,53.125,0.54999,54.1033,0.644814
5400,75,0.465651,55.9271,0.637592
5410,68.75,0.447341,52.2796,0.637532
5420,50,0.520792,55.0152,0.644103
5430,78.125,0.382286,54.4073,0.63596
5440,75,0.438375,55.0152,0.643121
5450,50,0.591756,51.0638,0.648955
5460,43.75,0.598678,52.8875,0.64635
5470,46.875,0.54644,52.2796,0.638279
5480,53.125,0.608971,53.7994,0.633895
5490,65.625,0.480121,51.0638,0.632326
5500,56.25,0.493638,55.0152,0.640229
5510,59.375,0.488224,52.5836,0.633824
5520,59.375,0.530611,51.3678,0.648959
5530,50,0.583347,52.2796,0.632131
5540,40.625,0.633694,51.9757,0.645679
5550,68.75,0.482561,52.8875,0.632124
5560,62.5,0.476369,54.7112,0.634815
5570,56.25,0.487839,53.1915,0.633611
5580,53.125,0.575696,52.8875,0.631833
5590,50,0.621758,54.1033,0.650516
5600,56.25,0.544028,51.9757,0.652403
5610,53.125,0.580584,53.7994,0.635138
5620,43.75,0.61844,53.4954,0.642004
5630,62.5,0.545881,54.7112,0.647512
5640,56.25,0.538779,54.7112,0.631192
5650,46.875,0.622126,55.0152,0.635617
5660,71.875,0.428139,52.2796,0.631002
5670,59.375,0.516475,55.3191,0.63723
5680,56.25,0.550637,54.4073,0.64104
5690,71.875,0.418318,53.4954,0.642007
5700,56.25,0.568033,52.2796,0.635549
5710,43.75,0.622144,54.4073,0.634666
5720,59.375,0.567783,53.4954,0.646697
5730,65.625,0.513896,52.8875,0.657606
5740,56.25,0.507667,53.1915,0.634313
5750,56.25,0.504656,54.1033,0.630973
5760,53.125,0.571886,55.0152,0.643957
5770,37.5,0.660036,52.5836,0.636093
5780,56.25,0.543325,52.5836,0.630661
5790,53.125,0.492952,51.9757,0.636871
5800,59.375,0.557828,53.7994,0.649049
5810,50,0.591635,53.7994,0.631522
5820,62.5,0.541438,55.3191,0.636626
5830,50,0.58954,51.6717,0.637165
5840,50,0.584679,55.9271,0.633839
5850,56.25,0.488039,54.4073,0.628834
5860,62.5,0.509215,52.8875,0.628561
5870,62.5,0.520824,53.7994,0.62893
5880,81.25,0.399961,55.0152,0.634186
5890,59.375,0.459826,53.4954,0.630456
5900,56.25,0.620018,54.1033,0.660378
5910,56.25,0.498918,55.3191,0.634953
5920,65.625,0.483411,53.4954,0.632023
5930,53.125,0.578766,55.0152,0.640731
5940,65.625,0.450327,51.0638,0.658188
5950,56.25,0.49201,52.8875,0.657604
5960,50,0.540108,54.4073,0.639681
5970,53.125,0.546576,55.0152,0.636241
5980,53.125,0.583913,53.7994,0.634932
5990,59.375,0.533792,54.1033,0.632092
6000,43.75,0.642159,55.6231,0.653394
6010,68.75,0.435844,54.4073,0.630231
6020,59.375,0.491984,55.6231,0.631648
